usaf,wban,name,country,state,call,lat,lon,elev,begin,end
010882,99999,ROROS,NO,"",ENRO,62.578,11.342,+0626.1,20050405,20170324
010886,99999,SLEIPNER A OIL PLATFORM,NO,"",ENSL,58.367,1.9,+0030.0,20050405,20170324
010890,99999,HOYBUKTMOEN,NO,"",ENKR,69.726,29.893,+0086.3,19401101,20170324
010920,99999,MAKKAUR FYR,NO,"","",70.7,30.083,+0009.0,19730101,20170324
010985,99999,"","","","",,,"",19741117,19750904
010986,99999,"","","","",,,"",19741117,19750904
010990,99999,VARDO AP / SVARTNES,NO,"",ENSS,70.355,31.045,+0012.8,20110928,20170324
011010,99999,BOGUS NORWEGIAN,NO,"","",,,"",19851202,20070307
011020,99999,SKLINNA FYR,NO,"","",65.2,11,+0016.0,19750228,20170324
011030,99999,LEKA,NO,"","",65.1,11.7,+0047.0,19730101,20070307
011050,99999,ROTVAER,NO,"","",68.367,15.95,+0008.0,19730101,20170324
011060,99999,ROEST III,NO,"","",67.517,12.1,+0002.0,19280101,20081204
011070,99999,ROST (NOR-AFB),NO,"",ENRS,67.517,12.1,+0004.0,19880303,20170324
011100,99999,YTTERHOLMEN FYR,NO,"","",66,11.683,+0033.0,19961201,20050319
011110,99999,BRONNOYSUND,NO,"","",65.467,12.217,+0005.0,19730116,19730718
011130,99999,GLOMFJORD,NO,"","",66.8,13.983,+0039.0,20040406,20091216
011133,99999,DAGALI,NO,"",ENDI,60.417,8.513,+0798.0,19860509,20030427
011140,99999,REIPA,NO,"","",66.9,13.633,+0008.0,20090702,20170324
011160,99999,STOKKA,NO,"",ENST,65.95,12.467,+0017.1,19730401,20170324
011240,99999,SNASA,NO,"","",64.167,12.467,+0195.0,20050218,20170324
011310,99999,GLAPEN LIGHTHOUSE,NO,"","",67.883,13.05,+0031.0,19730101,19850625
011340,99999,MAJAVATN III,NO,"","",65.183,13.417,+0339.0,19730101,20070630
011350,99999,SELJELIA,NO,"","",66.117,13.583,+0123.0,20111129,20170324
011410,99999,LEKNES,NO,"",ENLK,68.15,13.617,+0026.0,19730620,20170324
011430,99999,DRAG-AJLUOKTA,NO,"","",68.05,16.083,+0019.0,20070806,20170324
011440,99999,HELLIGVAER II,NO,"","",67.4,13.883,+0024.0,20050315,20170324
011460,99999,SKAMDAL,NO,"","",66.233,13.883,+0005.0,19730101,20170324
011470,99999,VARNTRESK,NO,"","",65.833,14.183,+0406.0,19400907,20170324
011480,99999,STORFORSHEI,NO,"","",66.383,14.517,+0110.0,20110616,20170324
011490,99999,RANA-BASMOEN,NO,"","",66.333,14.1,+0042.0,19730101,20070228
011501,99999,HATTFJELLDAL-KRUTA,NO,"","",65.683,14.167,+0385.0,20020312,20020312
011520,99999,BODO,NO,"",ENBO,67.269,14.365,+0012.8,19400917,20170324
011530,99999,BODO-VAGONES,NO,"","",67.283,14.45,+0033.0,20111003,20140611
011540,99999,LITLOY FYR,NO,"","",68.583,14.3,+0030.0,19940406,20030605
011630,99999,BOLNA,NO,"","",66.5,15.25,+0549.0,19730101,19770823
011650,99999,GROTOY,NO,"","",67.833,14.783,+0006.0,19730101,19781031
011670,99999,SORTLAND,NO,"","",68.7,15.417,+0003.0,19850201,20170324
011680,99999,KLEIVA I SORTLAND,NO,"","",68.65,15.283,+0023.0,19730101,20060611
011751,99999,LODINGEN,NO,"","",68.4,16,+0010.0,20040108,20040108
011830,99999,EVENES,NO,"",ENEV,68.491,16.678,+0025.6,19750905,20170324
011840,99999,SANDSOY I SENJA,NO,"","",68.933,16.683,+0045.0,19730101,19780613
011841,99999,SANDSOY,NO,"","",68.933,16.683,+0045.0,20070307,20070307
011895,99999,"","","","",,,"",19731008,19750904
011910,99999,SKJOMEN-SLETTJORD,NO,"","",68.283,17.317,+0006.0,19730101,19961104
011930,99999,NARVIK III/FRAMNES,NO,"",ENNK,68.467,17.5,+0023.0,20010706,20170324
011940,99999,NARVIK III,NO,"",ENNK,68.467,17.5,+0023.0,19730101,20050405
011990,99999,SIHCCAJAVRI,NO,"","",68.75,23.533,+0382.0,19490101,20170324
012070,99999,FISKABYGD,NO,"","",62.1,5.583,+0041.0,20040510,20170324
012090,99999,ORSTA-VOLDA/HOVDEN,NO,"",ENOV,62.183,6.067,+0074.0,19841211,20170324
012100,99999,VIGRA,NO,"",ENAL,62.56,6.11,+0021.0,19730101,20170324
012120,99999,ONA II,NO,"","",62.867,6.533,+0015.0,19550101,20170324
012150,99999,HJELVIK MYRBO,NO,"","",62.62,7.23,+0035.0,19730101,20090630
012160,99999,HJELVIK I ROMSDAL,NO,"","",62.617,7.217,+0016.0,19731226,20020527
012161,99999,GJERMUNDNES,NO,"","",62.617,7.167,+0049.0,20040412,20040412
012180,99999,TAFJORD,NO,"","",62.233,7.417,+0017.0,19730101,20170324
012200,99999,MANNEN,NO,"","",62.45,7.767,+1294.0,20100315,20170324
012230,99999,KVERNBERGET,NO,"",ENKB,63.112,7.825,+0062.2,19730101,20170324
012240,99999,AALESUND,NO,"","",62.467,6.217,+0050.0,19841201,20170324
012250,99999,VEIHOLMEN,NO,"","",63.517,7.95,+0005.0,19730101,20170324
012270,99999,INNERDALEN,NO,"","",62.717,8.783,+0405.0,19730101,20170324
012280,99999,SULA,NO,"","",63.85,8.467,+0006.0,19730101,20170324
012300,99999,BJORLI,NO,"","",62.267,8.2,+0579.0,19730101,20170324
012320,99999,VINJEORA II,NO,"","",62.45,7.85,+0067.0,19730101,20170324
012330,99999,DOMBAAS,NO,"","",62.083,9.117,+0638.0,20061121,20170324
012340,99999,ORKDAL-THAMSHAMN,NO,"","",63.317,9.85,+0004.0,20061121,20170324
012370,99999,HITRA,NO,"","",63.517,9.117,+0013.0,20050402,20170324
012390,99999,HJERKINN II,NO,"","",62.217,9.55,+1012.0,20100907,20170324
012400,99999,HALTEN FYR,NO,"","",64.167,9.4,+0016.0,19850110,20170324
012410,99999,ORLAND,NO,"",ENOL,63.699,9.604,+0008.5,19730101,20170324
012420,99999,AFJORD II,NO,"","",63.967,10.217,+0030.0,20080115,20170324
012430,99999,SONGLI,NO,"","",63.333,9.65,+0300.0,19730101,19761119
012480,99999,VALLERSUND,NO,"","",63.85,9.733,+0004.0,19730101,19751219
012500,99999,FOLLDAL-FREDHEIM,NO,"","",62.133,10,+0694.0,20110928,20170324
012530,99999,SOKNEDAL,NO,"","",62.95,10.183,+0299.0,20090112,20170324
012570,99999,TRONDHEIM/VOLL,NO,"","",63.417,10.45,+0131.5,20040406,20170324
012680,99999,"","","","",,,"",19730101,19750125
012700,99999,KVITHAMAR,NO,"","",63.483,10.883,+0040.0,20111003,20170324
012710,99999,VAERNES,NO,"",ENVA,63.458,10.94,+0017.1,19400413,20170324
012720,99999,FROSTA,NO,"","",63.567,10.7,+0070.0,20110929,20170324
012730,99999,SELBU,NO,"","",63.233,11.017,+0160.0,20071016,20170324
012771,99999,LEVANGER-EGGEN,NO,"","",63.717,11.233,+0097.0,19730101,19730216
012800,99999,NAMDALSEID-VENGSTAD,NO,"","",64.133,11.333,+0118.0,19730101,20081231
012820,99999,RORVIK/RYUM,NO,"",ENRM,64.85,11.233,+0014.0,19950901,20170324
012890,99999,ROROS LUFTHAVN,NO,"",ENRO,62.583,11.35,+0626.0,19840909,20050405
012891,99999,ROROS/AIRPORT,NO,"",ENRO,62.583,11.383,+0626.0,19790301,19840817
012910,99999,GARTLAND,NO,"","",64.533,12.383,+0095.0,20090112,20170324
012920,99999,MERAKER-UTSYN,NO,"","",63.417,11.7,+0240.0,19730101,20040930
012930,99999,MERAKER-EGGE,NO,"","",63.417,11.733,+0171.0,20050215,20170324
012950,99999,HOYLANDET,NO,"","",64.55,12.15,+0027.0,19730101,20070612
013005,99999,STATFJORD OIL PLATFORM HELIPO,FO,"",ENSF,61.25,1.85,+0117.7,19841204,20170324
013070,99999,FEDJE,NO,"","",60.75,4.717,+0020.0,20050218,20170324
013090,99999,KINN ISLAND,NO,"","",61.567,4.8,+0010.0,19310104,20051022
013100,99999,FLORO,NO,"",ENFL,61.584,5.025,+0011.3,19800407,20170324
013110,99999,FLESLAND,NO,"",ENBR,60.293,5.218,+0051.8,19730101,20170324
013140,99999,FOSSMARK,NO,"","",60.517,5.717,+0010.0,20120615,20170324
013150,99999,EVANGER,NO,"","",60.633,6.1,+0017.0,20101214,20170324
013160,99999,BERGEN-FREDRIKSBERG,NO,"","",60.4,5.317,+0040.0,19730101,19851230
013180,99999,SANDANE,NO,"","",61.783,6.183,+0051.0,20050614,20170324
013200,99999,SANDANE/ANDA,NO,"",ENSD,61.833,6.117,+0060.0,19810904,20170324
013230,99999,BRINGELAND,NO,"",ENBL,61.393,5.764,+0327.0,19840502,20170324
013250,99999,MODALEN II,NO,"","",60.833,5.95,+0114.0,19730101,20080924
013270,99999,KVAMSKOGEN-JONSHOGDI,NO,"","",60.383,5.967,+0455.0,20061121,20170324
013280,99999,KVAMSKOGEN,NO,"","",60.4,5.917,+0408.0,19730101,20060726
013360,99999,BULKEN,NO,"","",60.65,6.217,+0328.0,19730101,20170324
013380,99999,VANGSNES,NO,"","",61.167,6.65,+0051.0,20040706,20170324
013410,99999,EIDFJORD-BU,NO,"","",60.467,6.867,+0166.0,19830101,20070227
013420,99999,ULLENSVANG,NO,"","",60.317,6.65,+0012.0,19730101,20170324
013440,99999,MJOLFJELL,NO,"","",60.7,6.95,+0695.0,19730101,20170324
013460,99999,MIDTSTOVA,NO,"","",60.65,7.267,+1162.0,20111125,20170324
013471,99999,SOGNDAL/HAUKASEN,NO,"",ENSG,61.167,7.133,+0498.0,19840801,19841217
013510,99999,FINSE III,NO,"","",60.6,7.5,+1224.0,19730102,20011210
013550,99999,LAERDAL IV,NO,"","",61.1,7.5,+0005.0,19730101,20170324
013560,99999,FANNARAKI,FO,"","",61.517,7.9,+2062.0,19881125,20140827
013580,99999,HEMSEDAL II,NO,"","",60.85,8.6,+0604.0,20110929,20170324
013591,99999,HAUGASTOL,NO,"","",60.517,7.867,+0988.0,20070307,20070307
013610,99999,GROTLI III,NO,"","",62.017,7.667,+0872.0,19730101,20170324
013640,99999,FILEFJELL,NO,"","",61.183,8.117,+0955.1,19490101,20170324
013650,99999,BEITOSTOLEN II,NO,"","",65.25,8.917,+0965.0,19730404,20170324
013660,99999,SOGNEFJELL,NO,"","",61.567,8,+1413.0,19790301,20170324
013670,99999,FAGERNES,NO,"","",60.983,9.217,+0365.4,19821001,20170324
013680,99999,LEIRIN,NO,"",ENFG,61.016,9.288,+0822.0,19881014,20170324
013710,99999,LOKEN I VOLBU,NO,"","",61.117,9.067,+0521.0,19730101,20170324
013730,99999,NESBYEN-TODOKK,NO,"","",60.567,9.133,+0166.0,19730101,20170324
013740,99999,VEST-TORPA II,NO,"","",60.933,10.033,+0542.0,19810501,20170324
013741,99999,"","","","",,,"",19730101,19790810
013750,99999,KVITFJELL,NO,"","",61.467,10.133,+1028.0,19730101,20170324
013755,99999,GULLFAX (PLATFORM),NO,"",ENGC,61.033,2.033,+0010.0,19891115,20170324
013760,99999,GULSVIK II,NO,"","",60.383,9.6,+0142.0,19730101,20170324
013780,99999,LILLEHAMMER-SAETHERENGEN,NO,"","",61.1,10.467,+0239.0,19730101,20170324
013790,99999,SOR-NESSET,NO,"","",61.883,10.15,+0739.0,19730101,20051209
013800,99999,VENABU,NO,"","",61.65,10.117,+0930.0,19850110,20170324
013801,99999,KITTILBU,NO,"","",61.167,9.967,+0816.0,19741114,19840827
013820,99999,KISE,NO,"","",60.767,10.8,+0128.0,19730101,20170324
013860,99999,HAMAR II,NO,"","",60.8,11.1,+0132.0,20090701,20170324
013910,99999,FLISA,NO,"","",60.617,12.017,+0188.0,19730101,20050331
013920,99999,FLISA II,NO,"","",60.617,12.017,+0185.0,20050218,20170324
013930,99999,DREVSJO,NO,"","",61.883,12.033,+0673.5,19730101,20170324
013970,99999,TRYSIL VEGSTASJON,NO,"","",61.3,12.267,+0361.4,19730101,20170324
014010,99999,FRIGG,NO,"","",59.983,2.25,+0048.0,20010601,20060718
014030,99999,UTSIRA FYR,NO,"","",59.3,4.867,+0056.3,19280102,20170324
014033,99999,EKOFISK OIL PLTFRM,NO,"",ENEK,56.55,3.25,+0003.0,19810506,20170324
014060,99999,SLATTEROY FYR,NO,"","",59.917,5.067,+0016.0,19730101,20170324
014130,99999,SAERHEIM,NO,"","",58.75,5.65,+0087.0,20110928,20170324
014140,99999,ROVER,NO,"","",59.433,5.067,+0025.0,19890520,20170324
014160,99999,STAVANGER VAALAND,NO,"","",58.95,5.733,+0072.0,20080724,20170324
014170,99999,NEDRE VATS,NO,"","",59.483,5.75,+0065.0,19730103,20170324
014211,99999,INDRE MATRE,NO,"","",59.85,6,+0024.0,20020314,20020314
014220,99999,FISTER SIGMUNDSTAD,NO,"","",59.167,6.033,+0025.0,20070605,20170324
014230,99999,FISTER-TONNEVIK,NO,"","",59.167,6.05,+0050.0,19730101,20070529
014240,99999,SAUDA,NO,"","",59.65,6.367,+0006.0,19730101,20170324
014250,99999,EIK HOVE,NO,"","",58.517,6.517,+0066.0,19730101,20170324
014280,99999,LISTA,NO,"",ENLI,58.099,6.626,+0008.8,19730101,20070813
014281,99999,ULA OIL PLATFORM,NO,"",ENLA,59.111,2.846,+0094.0,20130806,20170324
014300,99999,MANDAL II,NO,"","",58.017,7.45,+0138.0,19730101,20170324
014310,99999,SIRDAL-SINNES,NO,"","",58.933,6.917,+0557.0,20070806,20170324
014340,99999,VAAGSLI,NO,"","",59.767,7.367,+0822.0,20040406,20170324
014400,99999,BLASJO,NO,"","",59.333,6.867,+1104.6,19730101,20170324
014410,99999,HOVDEN-LUNDANE,NO,"","",59.583,7.383,+0836.0,19830101,20170324
014490,99999,GJERSTAD,NO,"","",58.867,9.033,+0032.0,20120105,20170324
014500,99999,MOSSTRAND II,NO,"","",59.833,8.183,+0977.0,19730101,20170324
014550,99999,TVEITSUND,NO,"","",59.033,8.517,+0252.0,19730101,20170324
014590,99999,NELAUG,NO,"","",58.65,8.633,+0142.0,19730101,20170324
014630,99999,AS,NO,"","",59.65,10.767,+0089.0,20110929,20170324
014640,99999,LANDVIK,NO,"","",58.333,8.517,+0006.0,20110928,20170324
014650,99999,TORUNGEN FYR,NO,"","",58.4,8.783,+0015.0,19730101,20170324
014670,99999,LYNGOR FYR,NO,"","",58.633,9.15,+0005.0,19730101,20170324
014680,99999,KONGSVINGER,NO,"","",60.183,12,+0148.0,20061003,20170324
014703,99999,NOTODDEN,NO,"",ENNO,59.566,9.212,+0019.2,19901019,20170324
014710,99999,VEGGLI II,NO,"","",60.05,9.15,+0275.0,20061003,20170324
014750,99999,SKIEN-GEITERYGGEN,NO,"",ENSN,59.183,9.567,+0141.0,19850717,20050405
014780,99999,SVENNER LH,NO,"","",58.967,10.15,+0015.0,19730101,20170324
014825,99999,TORP,NO,"",ENTO,59.187,10.259,+0087.2,20050329,20170324
014830,99999,TORP,NO,"","",59.183,10.267,+0088.0,19730101,20100310
014881,99999,OSLO/FORNEBU,NO,"",ENFB,59.9,10.617,+0017.0,20101123,20170324
014900,99999,TRYVANNSHOGDA,NO,"","",59.983,10.683,+0528.0,19730101,20170324
014920,99999,OSLO-BLINDERN,NO,"","",59.95,10.717,+0097.0,19730803,20170324
014930,99999,SARPSBORG,NO,"","",59.283,11.117,+0057.0,20040510,20170324
014950,99999,STROMTANGEN FYR,NO,"","",59.15,10.833,+0010.0,20040406,20170324
014960,99999,HOLAND-FOSSER,NO,"","",59.817,11.483,+0154.0,19730101,20071020
014980,99999,MAGNOR,NO,"","",59.967,12.217,+0153.0,19830101,20050831
014983,99999,STATFJORD OIL RIG &,NO,"","",,,"",19821204,19841127
014990,99999,VAEROY,NO,"","",,,"",19860916,19900322
014993,99999,VAEROY,NO,"",ENVY,,,"",19880105,19900716
015000,99999,RAKKESTAD,NO,"","",59.383,11.383,+0100.0,20090708,20091216
020190,99999,KATTERJAKK A,SW,"","",68.417,18.167,+0516.0,20081027,20170324
020200,99999,KATTERJAKK,SW,"","",68.417,18.167,+0517.0,19770701,20170324
020220,99999,ABISKO,SW,"","",68.35,18.817,+0394.0,20011107,20051228
020230,99999,TORNEHAMN (AUT),SW,"","",68.433,18.633,+0512.0,19860427,20050526
020240,99999,STORA SJOFALLET,SW,"","",67.5,18.3,+0425.0,20010601,20170324
020260,99999,ALUOKTA,SW,"","",67.317,18.883,+0385.0,20021023,20050930
020290,99999,TARFALA,SW,"","",67.917,18.6,+1146.0,20010601,20170324
020430,99999,ESRANGE,SW,"","",67.933,21.067,+0341.0,19940301,19990630
020440,99999,KIRUNA,SW,"",ESNQ,67.822,20.337,+0459.6,19770701,20170324
020450,99999,KIRUNA-SOL,SW,"","",67.833,20.417,+0424.0,19950401,20030922
020480,99999,MALMBERGET,SW,"","",67.167,20.667,+0375.0,19350101,19910505
020490,99999,GALLIVARE,SW,"",ESNG,67.132,20.815,+0313.0,19790803,20170324
020500,99999,RIKSGRANSEN,SW,"","",68.417,18.117,+0508.0,19350101,19770630
020520,99999,KVIKKJOKK         &,SW,"","",66.95,17.75,+0337.0,19550101,19770630
020540,99999,NEDRE SOPPERO,SW,"","",68.05,21.75,+0360.0,19550101,20160421
020570,99999,KALLAX/LULEA (AFB),SW,"",ESPA,65.55,22.133,+0017.0,19550101,19770630
020590,99999,GADDEDE,SW,"","",64.5,14.133,+0318.0,19550101,19770630
020640,99999,SAITTAROVA,SW,"","",67.333,22.233,+0240.0,19730101,20170324
020650,99999,SVEG              &,SW,"","",62.033,14.367,+0360.0,19550101,19770630
020680,99999,DELSBO,SW,"","",61.8,16.567,+0093.0,19350101,19770630
020700,99999,GUSTAVSFORS       &,SW,"","",60.15,13.8,+0198.0,19730101,19770630
020710,99999,NORRKOPING-SOL,SW,"","",58.583,16.15,+0058.0,19550101,19591231
020711,99999,BORLANGE,SW,"","",60.417,15.517,+0153.0,19730101,19730121
020720,99999,PARKALOMPOLO,SW,"","",67.733,22.833,+0313.0,20010601,20170324
020730,99999,KARLSTAD          &,SW,"",ESSQ,59.367,13.467,+0046.0,19550101,19770630
020740,99999,OREBRO/EKEBY,SW,"","",59.267,15.333,+0033.0,19730101,19770630
020750,99999,VASTERAS/HASSLO AFB,SW,"",ESCD,59.583,16.633,+0006.0,19730101,19770630
020760,99999,UPPSALA           &,SW,"",ESCM,59.883,17.6,+0021.0,19730101,19770630
020770,99999,STOCKHOLM/BROMMA  &,SW,"",ESSB,59.35,17.95,+0015.0,19550101,19770630
020790,99999,SATENAS (SWE-AFB),SW,"",ESIB,58.433,12.7,+0054.0,19730101,19770630
020810,99999,KARESUANDO,SW,"","",68.45,22.45,+0330.0,19550101,20170324
020820,99999,LANDSORT          &,SW,"","",58.75,17.867,+0032.0,19730101,19770630
020860,99999,LAINIO,SW,"","",67.767,22.35,+0317.0,19550101,20050317
020880,99999,KOMPELUSVAARA,SW,"","",67.083,22.217,+0263.0,19730101,20020521
020890,99999,OLANDS NORRA UDDE &,SW,"","",57.367,17.1,+0004.0,19730101,19770630
020900,99999,VISBY             &,SW,"",ESSV,57.667,18.35,+0051.0,19550101,19770630
020910,99999,VISBY-SOL,SW,"","",57.667,18.35,+0049.0,19730101,19770630
020920,99999,MUODOSLOMPOLO,SW,"","",67.95,23.467,+0240.0,19730101,20040917
020930,99999,VAXJO             &,SW,"","",56.867,14.8,+0166.0,19730101,19770630
020970,99999,MALMO /BULLTOFTON,SZ,"","",55.6,13.067,+0014.9,19550101,19740702
020980,99999,MALMO/STURUP,SW,"",ESMS,55.55,13.367,+0072.0,19730101,19770630
020990,99999,YSTAD             &,SW,"","",55.433,13.833,+0034.0,19730101,19770630
021020,99999,STEKENJOKK,SW,"","",65.1,14.517,+1036.0,19581101,20170324
021040,99999,HEMAVAN,SW,"","",65.817,15.083,+0485.0,19770701,20080218
021060,99999,JOKKMOKK (SWE-AFB),SW,"","",66.6,19.833,+0256.0,19730101,19770630
021080,99999,KLIMPFJALL,SW,"","",65.067,14.8,+0593.0,19770701,20050921
021100,99999,GIELAS,SW,"","",65.333,15.067,+0577.0,19870518,20170324
021110,99999,VIDSEL (SWE-AFB),SW,"",ESPE,65.867,20.133,+0180.0,19730102,19770630
021120,99999,SYLARNA,SW,"","",63.05,12.267,+1035.0,19770701,20040821
021140,99999,NORRAKER,SW,"","",64.45,15.6,+0346.0,19750807,19770630
021150,99999,STORLIEN-VISJOVALE&,SW,"","",63.3,12.133,+0640.0,19550101,19770630
021160,99999,MORSIL,SW,"","",63.317,13.65,+0400.0,19730101,20050221
021190,99999,KVIKKJOKK ARRENJARKA,SW,"","",66.883,18.017,+0320.0,19730101,20170324
021200,99999,KVIKKJOKK-ARRENJARKA,SW,"","",66.883,18.017,+0315.0,19350101,20130331
021210,99999,MIERKENIS,SW,"","",66.683,16.117,+0615.0,20010601,20170324
021240,99999,ARJEPLOG,SW,"","",66.05,17.833,+0432.0,19770405,20170324
021250,99999,OSTMARK,SW,"","",60.317,12.7,+0178.0,19730101,19770630
021260,99999,GUNNARN,SW,"","",65.017,17.7,+0251.0,19730101,20150818
021270,99999,STENSELE,SW,"","",65.067,17.167,+0327.0,19310103,20050823
021280,99999,GUNNARN,SW,"",ESPD,65,17.7,+0283.0,19730101,20130402
021290,99999,GUNNARN SOL (AUT),SW,"","",64.967,17.7,+0278.0,19730101,19861125
021300,99999,ROPARUDDEN,SW,"","",66.483,16.417,+0481.0,19730101,20160421
021310,99999,ARVIKA,SW,"","",59.667,12.583,+0075.0,19730101,19770630
021350,99999,BURESJON,SW,"","",65.567,17.867,+0393.0,19730101,20170324
021360,99999,STORBERG,SW,"","",65.5,18.95,+0454.0,20030519,20040829
021420,99999,JOKKMOKK,SW,"",ESNJ,66.496,20.147,+0275.5,19770701,20000510
021430,99999,PALJAMYREN,SW,"","",66.217,19.133,+0570.0,19730101,20030731
021460,99999,VAJMAT,SW,"","",66.5,19.683,+0324.0,20010701,20160421
021480,99999,NORRKOPING/BRAVALLA,SW,"",ESCK,58.617,16.117,+0027.0,19730101,19770630
021490,99999,ARVIDSJAUR,SW,"","",65.6,19.267,+0384.0,20010701,20170324
021500,99999,NYKOPING/SKAVST AFB,SW,"",ESCJ,58.783,16.917,+0042.0,19730101,19770630
021510,99999,JOKKMOKK FPL,SW,"","",66.483,20.167,+0275.0,19730101,20170324
021550,99999,HAGSHULT (SWE-AFB),SW,"",ESMV,57.3,14.133,+0169.0,19550101,19770630
021560,99999,STENSJON (AUT),SW,"","",63.967,13.717,+0680.0,19770701,20031028
021610,99999,NATTAVAARA,SW,"","",66.75,20.933,+0327.0,19730101,20170324
021620,99999,MARKARYD,SW,"","",56.467,13.65,+0118.0,19730101,19770630
021630,99999,LJUNGBYHED(SWE-AFB),SW,"",ESDA,56.083,13.233,+0043.0,19730101,19770630
021640,99999,PALKEM,SW,"","",66.383,21.633,+0263.0,19730501,20030719
021690,99999,HEDEN,SW,"",ESPJ,65.867,21.45,+0036.0,20020530,20020801
021720,99999,ALVSBYN,SW,"","",65.683,20.967,+0050.0,19790710,19791123
021730,99999,ALVSBYN,SW,"","",65.667,21.067,+0043.0,20010701,20170324
021810,99999,OVERKALIX SVARTBYN,SW,"","",66.267,22.85,+0062.0,19960801,20170324
